ObjId,Station name,Station address,Opening hours,Operator,Number of station,Number of plugs,Charger rating,CHAdeMO,CCS/SAE,Tesla(Fast),Latitude,Longitude
169,Beecroft Village Plaza,"107 Beecroft Rd, Beecroft NSW 2119",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.75046555,151.0650469
170,Stanley St Parking,"28 Stanley St, Peakhurst NSW 2210, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.962184,151.063572
171,133 Liverpool Road,"133 Liverpool Road, Burwood NSW 2134, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.887273,151.099333
172,"Brighton St, Croydon Park","110 Brighton St, Croydon Park NSW 2133, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.894755,151.10969
173,Cook St Parking,"22 Cook st, Mortdale NSW 2223, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.970228,151.080159
174,Letitia St & Frederick St Parking,"20 Letitia St, Oatley NSW 2223, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.981597,151.081572
175,Goodwood St Parking,"110 Anzac Parade, Kensington NSW 2033, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.907121,151.224119
176,Anzac Parade Car Park,"827 Anzac Parade, Maroubra NSW 2035, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.943551,151.239711
177,Morgan St Parking,"Morgan St, Beverly Hills NSW 2209, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.949251,151.081229
178,Broadarrow Rd Parking,"42 Broad Arrow Rd, Narwee NSW 2209, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.948425,151.071068
179,Stewart St East Car Park,"17 Stewart St, Wollongong NSW 2500, Australia",Open 24/7,NRMA,2,4,75 - 175 kW,2,2,0,-34.428268,150.90015
180,Spencer St & Regatta Rd Parking,"2A Regatta Rd, Five Dock NSW 2046, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.869534,151.116173
181,Beauchamp Rd Parking,"151 Beauchamp Rd, Matraville NSW, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.95632342,151.2265971
182,JOLT Perry St ,"550 Bunnerong Rd, Matraville NSW 2036, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.96104423,151.2309394
183,Everton Park,"Everton Park, 26 Everton Rd, Strathfield NSW 2135, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.872106,151.095801
184,Park Ave Parking,"30 Park Ave, Burwood NSW 2134, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.873878,151.10192
185,Lagoon St Carpark,"9 Lagoon St, Narrabeen NSW 2101",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.7138449,151.2984042
186,"Ocean St, Narrabeen","5/16 Ocean St, Narrabeen NSW 2101, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.71941463,151.2986382
187,Bunnings Caringbah,"Koonya Cct, Caringbah NSW 2229, Australia",6am - 9pm,Exploren,1,2,50 kW,1,1,0,-34.02815,151.121855
188,Motor Traders' Association of New South Wales,"214 Parramatta Rd, Burwood NSW 2134, Australia",Open 24/7,Everty,2,2,60 kW,0,2,0,-33.86973363,151.1105925
189,Dan Murphy's Burwood,"312 Parramatta Rd, Burwood NSW 2134, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.86937549,151.1077687
190,Bungan Street,"5 Bungan St, Mona Vale NSW 2103",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.676139,151.303111
191,Mona Vale Library Car Park,"1 Park St, Mona Vale NSW 2103, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.67606,151.303827
192,JOLT Gardeners Road,"904 Gardeners Rd, Mascot NSW 2020, Australia",6am to 2am.,JOLT,2,4,25 kW,2,2,0,-33.9206552,151.1913821
193,Lancaster Motor Group- open now (station #1283) ,1 Waddell's Lane Singleton NSW 2330,Monday - Friday 7:30am - 5:30pm Saturday- 9am - 4pm Sunday - Closed,Everty,1,2,100 kW,0,2,0,-32.57696806,151.1841952
194,Tenterfield Visitors Information Centre,"157 Rouse Street, Tenterfield",Open 24/7,NRMA,1,2,50 kW,1,1,0,-29.057341,152.01889
195,Little Barber St Parking Lot,"73 Little Barber St, Gunnedah NSW 2380, Australia",Open 24/7,NRMA,1,2,50 kW,1,1,0,-30.978145,150.250987
196,Evans St Parking,"Car park, 51 Evans St (Victoria Park), Inverell NSW 2360",Open 24/7,NRMA,1,2,75 kW,1,1,0,-29.774714,151.114696
197,Glen Innes Town Hall,"265 Grey St, Glen Innes NSW 2370, Australia",Open 24/7,NRMA,1,2,50 kW,1,1,0,-29.738463,151.736308
198,Armidale Visitors Centre,"82 Marsh St, Armidale NSW 2350, Australia",Open 24/7,NRMA,1,2,50 kW,1,1,0,-30.511924,151.669672
199,Grafton Public Library,"126-144 Pound St, Grafton NSW 2460, Australia",Open 24/7,NRMA,1,2,50 kW,1,1,0,-29.68811,152.933421
200,Little Walker St Parking,"1 Little Walker St, Casino NSW 2470, Australia",Open 24/7,NRMA,2,4,50 kW,2,2,0,-28.865732,153.048478
201,The Farm Byron Bay,"11 Ewingsdale Rd, Ewingsdale NSW 2481, Australia",Open 24/7,NRMA,2,4,50 kW,2,2,0,-28.636128,153.55346
202,Hands of Fame Park,"2 Kable Ave, Tamworth NSW 2340, Australia",Open 24/7,NRMA,1,2,50 kW,1,1,0,-31.090437,150.927465
203,Sovereign Place,"John Oxley Dr Before Chancellor Dr, Thrumster NSW 2444, Australia",Open 24/7,NRMA,2,4,50 kW,2,2,0,-31.457966,152.827345
204,Braidwood Servicemens Club & Golf Course,"15 Victory St, Braidwood NSW 2622",Open 24/7,NRMA,2,4,50 kW,2,2,0,-35.4427778,149.7913735
205,Cronulla Station Parking,"2A Cronulla St, Cronulla NSW 2230, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-34.05770708,151.1519568
206,1 Gregory Hills Drive Parking,"Cnr Gregory Hills Dr & Holborn Cct, Gledswood Hills NSW, Australia",Open 24/7,Everty,2,4,120 kW,0,4,0,-34.02032806,150.7634143
207,Innovation Campus - SBRC Building 237,"160 Innovation Way, North Wollongong NSW 2500, Australia",Open 24/7,Non - Networked,1,2,180 kW,0,2,0,-34.40009045,150.8996111
208,12C Oatley Parade Parking,"12C Oatley Parade, Oatley NSW 2223, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.98151618,151.0794364
209,Crossroads Hotel (2),"2260 Camden Valley Wy, Casula NSW 2170, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.95822583,150.8865017
210,Crossroads Hotel (1),"2260 Camden Valley Wy, Casula NSW 2170, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.95798137,150.8864872
211,NRMA - Gilgandra (Museum and Historical Society),6 Castlereagh St Gilgandra NSW 2827,,NRMA,2,4,75 kW,2,2,0,-31.7223908,148.6571378
212,Barrenjoey House carpark,"Palm Beach, Palm Beach NSW 2108, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.59705164,151.3200112
213,7 Irvine Place Building,"7 Irvine Place, Bella Vista NSW 2153, Australia","7am Ã 11pm, 7 days per week.",Everty,2,4,140 kW,0,4,0,-33.73929068,150.9471975
214,Rouse Hill Village Centre,"40 Panmure St, Rouse Hill NSW 2155, Australia",6:00pm - 11:00pm,JOLT,1,2,25 kW,1,1,0,-33.68326776,150.9165514
215,JOLT The Ettamogah,"15 Merriville Rd, Kellyville Ridge NSW 2155, Australia",Open 24/7,JOLT,2,4,25 kW,2,2,0,-33.70049719,150.928112
216,JOLT Glendenning,"670 Richmond Rd, Glendenning NSW 2761, Australia",Open 24/7,JOLT,2,4,25 kW,2,2,0,-33.73550468,150.8513475
217,Roseville Station,"1 Clanville Rd, Roseville NSW 2069, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.78289238,151.1752149
218,Penrith Station Kiss and Ride,"31 Jane Street, Penrith NSW 2750, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.75030592,150.6940727
219,Berowra Station,"9/993 Pacific Hwy, Berowra NSW 2081, Australia",Open 24/7,JOLT,1,2,25 kW,1,1,0,-33.62387549,151.1518352
220,Big 4 Holiday Park,"282 O'Keefes Ln, Palmers Island NSW 2463, Australia",,Non - Networked,1,1,kW,1,0,0,-29.39484846,153.3121037
221,Cabarita Beach,"47 Cabarita Beach Road, Cabarita Beach NSW 2488",Open 24/7,NRMA,2,4,100 - 350 kW,1,3,0,-28.33169054,153.5641405
222,Narooma Supercharger,"185 Princes Highway, Narooma, Australia, ",Open 24/7,Tesla Supercharge,4,4,120 kW,0,4,0,-36.223136,150.128346
223,Centennial Plaza,"97 Commissioner St, Cooma NSW 2630, Australia",Open 24/7,Tesla Supercharge,4,8,120 kW,0,4,4,-36.235522,149.126794
224,Goulburn Visitor Information Centre,"201 Sloane St, Goulburn NSW 2580, Australia",Open 24/7,Tesla Supercharge,8,16,120 kW,0,8,8,-34.755597,149.720984
225,Yass ,"68 Lead St, Yass NSW 2582, Australia",Open 24/7,Tesla Supercharge,12,12,250 kW,0,12,0,-34.84359869,148.9139874
226,Dubbo Supercharger,"76 Wingewarra Street, Dubbo, Australia, 2830",Open 24/7,Tesla Supercharge,4,8,120 kW,0,4,4,-32.24995,148.609182
227,Oliver's Gundagai (2),"31 Annie Pyers Dr, Gundagai NSW 2722, Australia",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-35.002013,148.109889
228,Bathurst Visitor Information Centre,"1 Kendall Ave, Bathurst NSW 2795, Australia",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-33.41901,149.586756
229,Hollydene Estate Wines,"3483 Golden Hwy, Jerrys Plains NSW 2330, Australia",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-32.447359,150.83232
230,The Silos Estate,"640 Princes Hwy, Jaspers Brush NSW 2535, Australia",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-34.808254,150.636711
231,Hope St Parking Lot,"126 Hope St, Blaxland NSW 2774, Australia",Open 24/7,Tesla Supercharge,6,6,250 kW,0,6,0,-33.7451971,150.6103969
232,HomeCo. Tuggerah Super Centre,"Bryant Drive & Wyong Road, Tuggerah NSW 2259, Australia",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-33.310237,151.420585
233,South Village,"580 Princes Highway, Kirrawee, NSW, Australia, 2232",6am - midnight,Tesla Supercharge,6,6,250 kW,0,6,0,-34.033791,151.073837
234,Figtree Grove Shopping Centre,"Figtree Grove Shopping Centre, Figtree Grove Carpark, Figtree NSW 2525, Australia",Open 24/7,Tesla Supercharge,6,6,250 kW,0,6,0,-34.43779838,150.8634488
235,Campbelltown Catholic Club,"22 Camden Rd, Campbelltown NSW 2560",Open 24/7,Tesla Supercharge,12,12,250 kW,0,12,0,-34.07153315,150.8073678
236,Broadway Shopping Centre,"1 Bay St, Glebe NSW 2037, Australia",Open 24/7,Tesla Supercharge,8,16,120 kW,0,8,8,-33.882995,151.194332
237,Country Comfort Motto Farm Motel - Newcastle Airport,"2285 Pacific Hwy, Heatherbrae NSW 2324, Australia",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-32.78781734,151.727705
238,Heatherbrae's Pies Exeter,"24 Sallys Corner Rd, Exeter NSW 2579, Australia",Open 24/7,Tesla Supercharge,6,12,250 kW,0,6,6,-34.60926271,150.2299553
239,Macquarie Centre,"55 Talavera Rd, Macquarie Park NSW 2113, Australia",Open 24/7,Tesla Supercharge,10,20,120 - 150 kW,0,10,10,-33.776673,151.123048
240,Harwood Hotel,"56 Morpeth St, Harwood NSW 2465, Australia",Open 24/7,Tesla Supercharge,4,8,120 kW,0,4,4,-29.4269989,153.2391603
241,Macadamia Castle,"419 Hinterland Way, Knockrow NSW 2479, Australia",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-28.749539,153.534722
242,Park Beach Plaza,"253 Pacific Highway, Coffs Harbour, NSW Australia, 2450",Open 24/7,Tesla Supercharge,6,12,120 kW,0,6,6,-30.281439,153.131666
243,Cassegrain Winery,"10 Winery Drive, Port Macquarie, Australia, 2444",,Tesla Supercharge,6,12,120 kW,0,6,6,-31.4361,152.823582
244,West Tamworth League Club,"25 Park St, West Tamworth NSW 2340, Australia",Open 24/7,Tesla Supercharge,4,8,120 kW,0,4,4,-31.101649,150.917126
245,Coles Tenterfield,"13 Crown St, Tenterfield NSW 2372, Australia",Open 24/7,Tesla Supercharge,4,4,250 kW,0,4,0,-29.05606654,152.0176587
246,Quality Hotel Rules Club Wagga (2),"188 Fernleigh Rd, Wagga Wagga NSW 2650, Australia",Open 24/7,Tesla Supercharge,6,6,250 kW,0,6,0,-35.13100517,147.3397758
247,Holbrook,"66 Young St, Holbrook NSW 2644, Australia",Open 24/7,Tesla Supercharge,9,9,250 kW,0,9,0,-35.72274451,147.317551
248,Commercial Club Albury,"576 Stanley St, Albury NSW 2640, Australia",Open 24/7,Tesla Supercharge,16,16,250 kW,0,16,0,-36.07929418,146.9136097
249,Tramsheds Harold Park (2),"1 Dalgal Wy, Forest Lodge NSW 2037, Australia",6am - 11pm for carpark,Tesla Supercharge,4,4,250 kW,0,4,0,-33.87635779,151.177867
250,Tweed Mall Shopping Centre,"1 Wharf Street, Tweed Heads NSW 2485, Australia",6:00 AM - 11:00 PM,Tesla Supercharge,6,6,250 kW,0,6,0,-28.17379051,153.5446309
251,The Big Banana Fun Park,"26 Aspect Dr, Coffs Harbour NSW 2450, Australia",Open 24/7,Tesla Supercharge,2,2,250 kW,0,2,0,-30.27522635,153.1319391
252,Sovereign Place Town Centre (2),"15 Chancellors Dr, Thrumster NSW 2444, Australia",Open 24/7,Tesla Supercharge,12,12,250 kW,0,12,0,-31.45774801,152.8268794
